Title,location,bhk,bath,total_sqft,price_per_sqft,price,area_type
2 BHK Apartment , Hoodi,2,2,1135,4405,50,CarpetArea
2 BHK Apartment , Kasturi Nagar,2,2,1025,8292,82,Built-upArea
3 BHK Apartment ," Yelahanka, Bangalore",3,3,1496,4812,72,Superbuilt-up
2 BHK Apartment , BEL Road,2,2,900,5777,52,Built-upArea
2 Bedroom House , Banjara Layout,2,2,1270,7086,90,PlotArea
2 BHK Apartment , BTM 2nd Stage,2,2,1200,6250,75,Superbuilt-up
3 BHK Apartment , Talacauvery Layout,3,3,1610,8074,130,Superbuilt-up
2 BHK Apartment , Mathikere,2,2,1016,6889,70,CarpetArea
3 BHK Apartment , Sarjapur Road,3,3,1573,6675,105,CarpetArea
2 BHK Apartment , Hallehalli,2,2,1172,3839,45,CarpetArea
2 BHK Apartment , Dodda Nekkundi,2,2,1055,6445,68,Superbuilt-up
3 BHK Apartment , Banashankari,3,3,1520,5592,85,CarpetArea
2 BHK Apartment , Dodda Nekkundi,2,2,1275,8372,90,Built-upArea
3 BHK Apartment , Kadugodi,3,3,1670,5209,87,Superbuilt-up
2 BHK Apartment , Sneha Colony,2,2,875,4914,43,CarpetArea
2 BHK Apartment , Marathahalli,2,2,1283,5845,75,Superbuilt-up
2 BHK Apartment , Sarjapur Road,2,2,1258,5962,83,Superbuilt-up
2 BHK Apartment , 5th Phase JP Nagar,2,3,1200,5416,65,CarpetArea
2 BHK Apartment , Chikkabanavar,2,2,1000,5000,50,CarpetArea
3 BHK Apartment , Dollars Colony,3,3,1815,9917,180,CarpetArea
2 BHK Apartment , Hennur Road,2,2,1260,6715,70,Superbuilt-up
3 BHK Apartment , LB Shastri Nagar,3,2,1370,6496,89,Superbuilt-up
2 BHK Apartment , Narayana Nagar 1st Block,2,2,989,6572,65,CarpetArea
2 BHK Apartment , Hebbal,2,2,1000,4500,45,Built-upArea
2 BHK Apartment , BEL Road,2,2,1150,6260,73,CarpetArea
2 BHK Apartment , Peenya,2,2,814,5528,45,CarpetArea
2 BHK Apartment , Devi Nagar,2,2,1395,6308,88,Superbuilt-up
2 BHK Apartment , Ambedkar Colony,2,2,1450,10482,152,Superbuilt-up
2 BHK Apartment , Anantapuram,2,2,928,5172,48,CarpetArea
2 BHK Apartment , Kirloskar Layout,2,2,900,3666,33,Superbuilt-up
3 BHK Apartment , KR Puram,3,3,1502,6591,99,Built-upArea
3 BHK Apartment , Kumarapalli,3,2,1488,5040,75,Superbuilt-up
2 BHK Apartment , Bannerghatta Road,2,2,1305,4980,65,Superbuilt-up
2 BHK Apartment , Channasandra Layout,2,2,1010,6039,57,Built-upArea
3 BHK Apartment , Murugeshpalya,3,2,1400,8000,100,Superbuilt-up
3 BHK Apartment , Amruthahalli,3,2,1540,4546,70,Built-upArea
3 BHK Apartment , TC Palaya,3,3,1250,6560,82,CarpetArea
2 BHK Apartment , Benson Town,2,2,1166,7718,90,Built-upArea
3 BHK Apartment , Electronics City Phase 1,3,3,2035,6879,140,Built-upArea
2 BHK Apartment , Dasarahalli,2,2,872,5504,48,Superbuilt-up
2 BHK Apartment , Yelahanka,2,2,870,6034,52.5,CarpetArea
3 BHK Apartment , TC Palaya,3,3,1100,4181,46,CarpetArea
3 BHK Apartment , Sarjapur,3,2,844,7938,67,Superbuilt-up
3 BHK Apartment , Budigere,3,3,1674,5077,85,Built-upArea
3 Bedroom House , Sidihosakote,3,3,1500,4676,85,PlotArea
2 BHK Independent Builder Floor , Sector 2 HSR Layout,2,2,1075,5209,56,CarpetArea
2 BHK Apartment , Ulsoor,2,2,1500,10333,155,CarpetArea
3 BHK Apartment , Whitefield,3,3,1715,6297,108,Superbuilt-up
2 BHK Apartment , HBR Layout,2,2,1005,7761,78,Superbuilt-up
2 BHK Apartment , Sarjapur,2,2,1200,3750,45,Built-upArea
3 BHK Apartment , Jalahalli,3,2,1596,5639,90,Superbuilt-up
2 BHK Apartment , Kengeri,2,2,902,4756,42.9,Superbuilt-up
3 BHK Apartment , Doddagubbi,3,3,1350,5185,70,Superbuilt-up
2 BHK Apartment , Sun City Layout,2,2,1094,8683,95,CarpetArea
3 BHK Apartment , Ramamurthy Nagar,3,2,1750,4114,72,CarpetArea
3 BHK Apartment , Sompura,3,3,1650,5151,85,CarpetArea
3 BHK Apartment , Frazer Town,3,3,1276,7053,90,Superbuilt-up
2 BHK Apartment , Sahakara Nagar,2,2,1170,8120,95,Built-upArea
2 BHK Apartment , 5th Phase JP Nagar,2,2,1195,4602,55,CarpetArea
2 BHK Apartment , Chandapura,2,2,886,3724,33,CarpetArea
2 BHK Apartment , Horamavu Agara,2,2,900,6111,55,CarpetArea
3 BHK Apartment , Sree Narayana Nagar,3,2,1032,5329,55,CarpetArea
2 BHK Apartment , Chandapura,2,2,887,3720,33,CarpetArea
3 BHK Apartment , Whitefield,3,3,1780,6179,110,Superbuilt-up
3 Bedroom House , TC Palaya,3,2,1750,8571,150,PlotArea
3 BHK Apartment , Begur Road,3,3,1850,9730,175,Superbuilt-up
2 BHK Apartment , Bommasandra,2,2,995,4020,38,Superbuilt-up
3 BHK Apartment , Himagiri Meadows,3,3,1327,4898,60,Superbuilt-up
2 BHK Apartment , Vijay Nagar,2,2,1200,5167,69,Superbuilt-up
3 BHK Apartment , Sahakara Nagar,3,2,1399,6075,85,Built-upArea
2 BHK Apartment , Doddathoguru,2,2,953,5246,58.5,Superbuilt-up
2 BHK Apartment , Dollars Colony,2,2,1080,8333,90,Built-upArea
3 BHK Apartment , Garebhavipalya,3,2,1510,10596,160,Superbuilt-up
2 BHK Apartment , Whitefield,2,2,1272,5738,73,Superbuilt-up
2 BHK Apartment , Yelahanka,2,2,1445,6228,90,Built-upArea
3 BHK Apartment , V,3,2,1558,6740,105,Superbuilt-up
2 BHK Apartment , Yelahanka,2,2,1270,5906,75,Superbuilt-up
3 Bedroom House , Hessarghatta,3,4,1500,4166,125,PlotArea
2 BHK Apartment , Anekal,2,2,900,4333,39,CarpetArea
2 BHK Apartment , Tumkur Road,2,2,1297,8018,104,Superbuilt-up
2 BHK Apartment , Sector 7 HSR Layout,2,2,1265,6245,79,Superbuilt-up
