,Location,Price_per_sqft,Total_sqft,Area,BHK,Price
1142,Residential land / Plot in Malur,"₹ 2,117/sq.ft.","2,125 sq.ft. (197 sq.m.) Plot Area",(197 sq.m.) Plot Area,,"₹ 45 L₹ 2,117/sq.ft."
1143,3 BHK Apartment in Kanakapura Road,"₹ 6,782/sq.ft.","1,843 sq.ft. (171 sq.m.) Super built-up Area",(171 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.25 Cr₹ 6,782/sq.ft."
1144,Residential land / Plot in Kodipalya,"₹ 5,300/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 63.6 L₹ 5,300/sq.ft."
1145,3 Bedroom House in Whitefield,"₹ 4,750/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK3 Baths,"₹ 57 L₹ 4,750/sq.ft."
1146,1 Bedroom House in Nelmangala RTO Driving Track,"₹ 5,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,1 BHK1 Bath,"₹ 60 L₹ 5,000/sq.ft."
1147,3 BHK Apartment in Cooke Town,"₹ 12,173/sq.ft.","1,725 sq.ft. (160 sq.m.) Super built-up Area",(160 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 2.1 Cr₹ 12,173/sq.ft."
1148,3 Bedroom House in Bidarahalli,"₹ 5,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,3 BHK2 Baths,"₹ 64 L₹ 5,333/sq.ft."
1149,2 BHK Apartment in Akshayanagara East,"₹ 3,305/sq.ft.","1,180 sq.ft. (110 sq.m.) Super built-up Area",(110 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 39 L₹ 3,305/sq.ft."
1150,Residential land / Plot in Hebbagodi,"₹ 6,000/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 72 L₹ 6,000/sq.ft."
1151,3 BHK Apartment in Jakkur,"₹ 7,386/sq.ft.","1,760 sq.ft. (164 sq.m.) Super built-up Area",(164 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 7,386/sq.ft."
1152,3 BHK Apartment in Sonnenahalli,"₹ 8,000/sq.ft.","1,650 sq.ft. (153 sq.m.) Super built-up Area",(153 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 1.32 Cr₹ 8,000/sq.ft."
