,Location,Price_per_sqft,Total_sqft,Area,BHK,Price
1982,4 Bedroom House in Sarjapur Road,"₹ 8,000/sq.ft.","1,750 sq.ft. (163 sq.m.) Plot Area",(163 sq.m.) Plot Area,4 BHK3 Baths,"₹ 1.4 Cr₹ 8,000/sq.ft."
1983,2 Bedroom House in Nelamangala,"₹ 8,965/sq.ft.","2,900 sq.ft. (269 sq.m.) Plot Area",(269 sq.m.) Plot Area,2 BHK1 Bath,"₹ 2.6 Cr₹ 8,965/sq.ft."
1984,Residential land / Plot in Garebhavipalya,"₹ 7,000/sq.ft.",600 sq.ft. (56 sq.m.) Plot Area,(56 sq.m.) Plot Area,,"₹ 42 L₹ 7,000/sq.ft."
1985,Residential land / Plot in Hosa Road,"₹ 6,000/sq.ft.","1,560 sq.ft. (145 sq.m.) Plot Area",(145 sq.m.) Plot Area,,"₹ 93.6 L₹ 6,000/sq.ft."
1986,2 BHK Apartment in KR Puram,"₹ 4,173/sq.ft.","1,150 sq.ft. (107 sq.m.) Super built-up Area",(107 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 48 L₹ 4,173/sq.ft."
1987,Residential land / Plot in Kithaganur,"₹ 3,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 40 L₹ 3,333/sq.ft."
1988,Residential land / Plot in P&T Layout,"₹ 6,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 95 L₹ 6,333/sq.ft."
1989,3 BHK Apartment in 3rd Block HBR Layout,"₹ 6,500/sq.ft.","2,000 sq.ft. (186 sq.m.) Carpet Area",(186 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 6,500/sq.ft."
1990,Residential land / Plot in Electronic City,"₹ 1,583/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 19 L₹ 1,583/sq.ft."
1991,2 BHK Apartment in Whitefield,"₹ 5,625/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 5,625/sq.ft."
1992,Residential land / Plot in Srinivasa Layout,"₹ 3,082/sq.ft.","2,920 sq.ft. (271 sq.m.) Plot Area",(271 sq.m.) Plot Area,,"₹ 90 L₹ 3,082/sq.ft."
1993,1 BHK Apartment in Byagadadhenahalli,"₹ 2,903/sq.ft.",465 sq.ft. (43 sq.m.) Super built-up Area,(43 sq.m.) Super built-up Area,1 BHK2 Baths,"₹ 13.5 L₹ 2,903/sq.ft."
1994,2 BHK Apartment in Bommasandra,"₹ 3,300/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 33 L₹ 3,300/sq.ft."
1995,5 Bedroom House in RT Nagar,"₹ 12,500/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,5 BHK5 Baths,"₹ 3 Cr₹ 12,500/sq.ft."
1996,3 BHK Apartment in HBR Layout,"₹ 6,428/sq.ft.","1,400 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 90 L₹ 6,428/sq.ft."
1997,2 BHK Apartment in Srirampuram,"₹ 6,724/sq.ft.","1,041 sq.ft. (97 sq.m.) Carpet Area",(97 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 70 L₹ 6,724/sq.ft."
1998,Residential land / Plot in Kittanahalli,"₹ 1,450/sq.ft.","1,159 sq.ft. (108 sq.m.) Plot Area",(108 sq.m.) Plot Area,,"₹ 16.81 L₹ 1,450/sq.ft."
1999,3 BHK Apartment in Kereguddadahalli,"₹ 3,859/sq.ft.","1,425 sq.ft. (132 sq.m.) Super built-up Area",(132 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 55 L₹ 3,859/sq.ft."
2000,3 BHK Apartment in Panduranga Nagar,"₹ 4,545/sq.ft.","1,320 sq.ft. (123 sq.m.) Super built-up Area",(123 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 51 L₹ 4,545/sq.ft."
2001,2 BHK Apartment in BTM Layout,"₹ 6,956/sq.ft.","1,150 sq.ft. (107 sq.m.) Built-up Area",(107 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 80 L₹ 6,956/sq.ft."
2002,2 BHK Apartment in Chandapura,"₹ 3,676/sq.ft.",816 sq.ft. (76 sq.m.) Super built-up Area,(76 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 30 L₹ 3,676/sq.ft."
2003,2 BHK Apartment in Mahadevpura,"₹ 3,590/sq.ft.","1,532 sq.ft. (142 sq.m.) Super built-up Area",(142 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55 L₹ 3,590/sq.ft."
2004,4 Bedroom House in Chandra Layout,"₹ 12,500/sq.ft.","2,800 sq.ft. (260 sq.m.) Plot Area",(260 sq.m.) Plot Area,4 BHK3 Baths,"₹ 3.5 Cr₹ 12,500/sq.ft."
2005,2 BHK Apartment in Nagondanahalli,"₹ 6,637/sq.ft.","1,145 sq.ft. (106 sq.m.) Super built-up Area",(106 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 76 L₹ 6,637/sq.ft."
2006,2 BHK Apartment in Kereguddadahalli,"₹ 4,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 40 L₹ 4,000/sq.ft."
2007,4 Bedroom House in Sarjapur Road,"₹ 8,000/sq.ft.","1,750 sq.ft. (163 sq.m.) Plot Area",(163 sq.m.) Plot Area,4 BHK3 Baths,"₹ 1.4 Cr₹ 8,000/sq.ft."
2008,2 Bedroom House in Nelamangala,"₹ 8,965/sq.ft.","2,900 sq.ft. (269 sq.m.) Plot Area",(269 sq.m.) Plot Area,2 BHK1 Bath,"₹ 2.6 Cr₹ 8,965/sq.ft."
2009,Residential land / Plot in Garebhavipalya,"₹ 7,000/sq.ft.",600 sq.ft. (56 sq.m.) Plot Area,(56 sq.m.) Plot Area,,"₹ 42 L₹ 7,000/sq.ft."
2010,Residential land / Plot in Hosa Road,"₹ 6,000/sq.ft.","1,560 sq.ft. (145 sq.m.) Plot Area",(145 sq.m.) Plot Area,,"₹ 93.6 L₹ 6,000/sq.ft."
2011,2 BHK Apartment in KR Puram,"₹ 4,173/sq.ft.","1,150 sq.ft. (107 sq.m.) Super built-up Area",(107 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 48 L₹ 4,173/sq.ft."
2012,Residential land / Plot in Kithaganur,"₹ 3,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 40 L₹ 3,333/sq.ft."
2013,Residential land / Plot in P&T Layout,"₹ 6,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 95 L₹ 6,333/sq.ft."
2014,3 BHK Apartment in 3rd Block HBR Layout,"₹ 6,500/sq.ft.","2,000 sq.ft. (186 sq.m.) Carpet Area",(186 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 6,500/sq.ft."
2015,Residential land / Plot in Electronic City,"₹ 1,583/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 19 L₹ 1,583/sq.ft."
2016,2 BHK Apartment in Whitefield,"₹ 5,625/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 5,625/sq.ft."
2017,Residential land / Plot in Srinivasa Layout,"₹ 3,082/sq.ft.","2,920 sq.ft. (271 sq.m.) Plot Area",(271 sq.m.) Plot Area,,"₹ 90 L₹ 3,082/sq.ft."
2018,1 BHK Apartment in Byagadadhenahalli,"₹ 2,903/sq.ft.",465 sq.ft. (43 sq.m.) Super built-up Area,(43 sq.m.) Super built-up Area,1 BHK2 Baths,"₹ 13.5 L₹ 2,903/sq.ft."
2019,2 BHK Apartment in Bommasandra,"₹ 3,300/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 33 L₹ 3,300/sq.ft."
2020,5 Bedroom House in RT Nagar,"₹ 12,500/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,5 BHK5 Baths,"₹ 3 Cr₹ 12,500/sq.ft."
2021,3 BHK Apartment in HBR Layout,"₹ 6,428/sq.ft.","1,400 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 90 L₹ 6,428/sq.ft."
2022,2 BHK Apartment in Srirampuram,"₹ 6,724/sq.ft.","1,041 sq.ft. (97 sq.m.) Carpet Area",(97 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 70 L₹ 6,724/sq.ft."
2023,Residential land / Plot in Kittanahalli,"₹ 1,450/sq.ft.","1,159 sq.ft. (108 sq.m.) Plot Area",(108 sq.m.) Plot Area,,"₹ 16.81 L₹ 1,450/sq.ft."
2024,3 BHK Apartment in Kereguddadahalli,"₹ 3,859/sq.ft.","1,425 sq.ft. (132 sq.m.) Super built-up Area",(132 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 55 L₹ 3,859/sq.ft."
2025,3 BHK Apartment in Panduranga Nagar,"₹ 4,545/sq.ft.","1,320 sq.ft. (123 sq.m.) Super built-up Area",(123 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 51 L₹ 4,545/sq.ft."
2026,2 BHK Apartment in BTM Layout,"₹ 6,956/sq.ft.","1,150 sq.ft. (107 sq.m.) Built-up Area",(107 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 80 L₹ 6,956/sq.ft."
2027,2 BHK Apartment in Chandapura,"₹ 3,676/sq.ft.",816 sq.ft. (76 sq.m.) Super built-up Area,(76 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 30 L₹ 3,676/sq.ft."
2028,2 BHK Apartment in Mahadevpura,"₹ 3,590/sq.ft.","1,532 sq.ft. (142 sq.m.) Super built-up Area",(142 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55 L₹ 3,590/sq.ft."
2029,4 Bedroom House in Chandra Layout,"₹ 12,500/sq.ft.","2,800 sq.ft. (260 sq.m.) Plot Area",(260 sq.m.) Plot Area,4 BHK3 Baths,"₹ 3.5 Cr₹ 12,500/sq.ft."
2030,2 BHK Apartment in Nagondanahalli,"₹ 6,637/sq.ft.","1,145 sq.ft. (106 sq.m.) Super built-up Area",(106 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 76 L₹ 6,637/sq.ft."
2031,2 BHK Apartment in Kereguddadahalli,"₹ 4,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 40 L₹ 4,000/sq.ft."
2032,4 Bedroom House in Sarjapur Road,"₹ 8,000/sq.ft.","1,750 sq.ft. (163 sq.m.) Plot Area",(163 sq.m.) Plot Area,4 BHK3 Baths,"₹ 1.4 Cr₹ 8,000/sq.ft."
2033,2 Bedroom House in Nelamangala,"₹ 8,965/sq.ft.","2,900 sq.ft. (269 sq.m.) Plot Area",(269 sq.m.) Plot Area,2 BHK1 Bath,"₹ 2.6 Cr₹ 8,965/sq.ft."
2034,Residential land / Plot in Garebhavipalya,"₹ 7,000/sq.ft.",600 sq.ft. (56 sq.m.) Plot Area,(56 sq.m.) Plot Area,,"₹ 42 L₹ 7,000/sq.ft."
2035,Residential land / Plot in Hosa Road,"₹ 6,000/sq.ft.","1,560 sq.ft. (145 sq.m.) Plot Area",(145 sq.m.) Plot Area,,"₹ 93.6 L₹ 6,000/sq.ft."
2036,2 BHK Apartment in KR Puram,"₹ 4,173/sq.ft.","1,150 sq.ft. (107 sq.m.) Super built-up Area",(107 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 48 L₹ 4,173/sq.ft."
2037,Residential land / Plot in Kithaganur,"₹ 3,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 40 L₹ 3,333/sq.ft."
2038,Residential land / Plot in P&T Layout,"₹ 6,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 95 L₹ 6,333/sq.ft."
2039,3 BHK Apartment in 3rd Block HBR Layout,"₹ 6,500/sq.ft.","2,000 sq.ft. (186 sq.m.) Carpet Area",(186 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 6,500/sq.ft."
2040,Residential land / Plot in Electronic City,"₹ 1,583/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 19 L₹ 1,583/sq.ft."
2041,2 BHK Apartment in Whitefield,"₹ 5,625/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 5,625/sq.ft."
2042,Residential land / Plot in Srinivasa Layout,"₹ 3,082/sq.ft.","2,920 sq.ft. (271 sq.m.) Plot Area",(271 sq.m.) Plot Area,,"₹ 90 L₹ 3,082/sq.ft."
2043,1 BHK Apartment in Byagadadhenahalli,"₹ 2,903/sq.ft.",465 sq.ft. (43 sq.m.) Super built-up Area,(43 sq.m.) Super built-up Area,1 BHK2 Baths,"₹ 13.5 L₹ 2,903/sq.ft."
2044,2 BHK Apartment in Bommasandra,"₹ 3,300/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 33 L₹ 3,300/sq.ft."
2045,5 Bedroom House in RT Nagar,"₹ 12,500/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,5 BHK5 Baths,"₹ 3 Cr₹ 12,500/sq.ft."
2046,3 BHK Apartment in HBR Layout,"₹ 6,428/sq.ft.","1,400 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 90 L₹ 6,428/sq.ft."
2047,2 BHK Apartment in Srirampuram,"₹ 6,724/sq.ft.","1,041 sq.ft. (97 sq.m.) Carpet Area",(97 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 70 L₹ 6,724/sq.ft."
2048,Residential land / Plot in Kittanahalli,"₹ 1,450/sq.ft.","1,159 sq.ft. (108 sq.m.) Plot Area",(108 sq.m.) Plot Area,,"₹ 16.81 L₹ 1,450/sq.ft."
2049,3 BHK Apartment in Kereguddadahalli,"₹ 3,859/sq.ft.","1,425 sq.ft. (132 sq.m.) Super built-up Area",(132 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 55 L₹ 3,859/sq.ft."
2050,3 BHK Apartment in Panduranga Nagar,"₹ 4,545/sq.ft.","1,320 sq.ft. (123 sq.m.) Super built-up Area",(123 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 51 L₹ 4,545/sq.ft."
2051,2 BHK Apartment in BTM Layout,"₹ 6,956/sq.ft.","1,150 sq.ft. (107 sq.m.) Built-up Area",(107 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 80 L₹ 6,956/sq.ft."
2052,2 BHK Apartment in Chandapura,"₹ 3,676/sq.ft.",816 sq.ft. (76 sq.m.) Super built-up Area,(76 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 30 L₹ 3,676/sq.ft."
2053,2 BHK Apartment in Mahadevpura,"₹ 3,590/sq.ft.","1,532 sq.ft. (142 sq.m.) Super built-up Area",(142 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55 L₹ 3,590/sq.ft."
2054,4 Bedroom House in Chandra Layout,"₹ 12,500/sq.ft.","2,800 sq.ft. (260 sq.m.) Plot Area",(260 sq.m.) Plot Area,4 BHK3 Baths,"₹ 3.5 Cr₹ 12,500/sq.ft."
2055,2 BHK Apartment in Nagondanahalli,"₹ 6,637/sq.ft.","1,145 sq.ft. (106 sq.m.) Super built-up Area",(106 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 76 L₹ 6,637/sq.ft."
2056,2 BHK Apartment in Kereguddadahalli,"₹ 4,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 40 L₹ 4,000/sq.ft."
2057,4 Bedroom House in Sarjapur Road,"₹ 8,000/sq.ft.","1,750 sq.ft. (163 sq.m.) Plot Area",(163 sq.m.) Plot Area,4 BHK3 Baths,"₹ 1.4 Cr₹ 8,000/sq.ft."
2058,2 Bedroom House in Nelamangala,"₹ 8,965/sq.ft.","2,900 sq.ft. (269 sq.m.) Plot Area",(269 sq.m.) Plot Area,2 BHK1 Bath,"₹ 2.6 Cr₹ 8,965/sq.ft."
2059,Residential land / Plot in Garebhavipalya,"₹ 7,000/sq.ft.",600 sq.ft. (56 sq.m.) Plot Area,(56 sq.m.) Plot Area,,"₹ 42 L₹ 7,000/sq.ft."
2060,Residential land / Plot in Hosa Road,"₹ 6,000/sq.ft.","1,560 sq.ft. (145 sq.m.) Plot Area",(145 sq.m.) Plot Area,,"₹ 93.6 L₹ 6,000/sq.ft."
2061,2 BHK Apartment in KR Puram,"₹ 4,173/sq.ft.","1,150 sq.ft. (107 sq.m.) Super built-up Area",(107 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 48 L₹ 4,173/sq.ft."
2062,Residential land / Plot in Kithaganur,"₹ 3,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 40 L₹ 3,333/sq.ft."
2063,Residential land / Plot in P&T Layout,"₹ 6,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 95 L₹ 6,333/sq.ft."
2064,3 BHK Apartment in 3rd Block HBR Layout,"₹ 6,500/sq.ft.","2,000 sq.ft. (186 sq.m.) Carpet Area",(186 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 6,500/sq.ft."
2065,Residential land / Plot in Electronic City,"₹ 1,583/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 19 L₹ 1,583/sq.ft."
2066,2 BHK Apartment in Whitefield,"₹ 5,625/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 5,625/sq.ft."
2067,Residential land / Plot in Srinivasa Layout,"₹ 3,082/sq.ft.","2,920 sq.ft. (271 sq.m.) Plot Area",(271 sq.m.) Plot Area,,"₹ 90 L₹ 3,082/sq.ft."
2068,1 BHK Apartment in Byagadadhenahalli,"₹ 2,903/sq.ft.",465 sq.ft. (43 sq.m.) Super built-up Area,(43 sq.m.) Super built-up Area,1 BHK2 Baths,"₹ 13.5 L₹ 2,903/sq.ft."
2069,2 BHK Apartment in Bommasandra,"₹ 3,300/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 33 L₹ 3,300/sq.ft."
2070,5 Bedroom House in RT Nagar,"₹ 12,500/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,5 BHK5 Baths,"₹ 3 Cr₹ 12,500/sq.ft."
2071,3 BHK Apartment in HBR Layout,"₹ 6,428/sq.ft.","1,400 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 90 L₹ 6,428/sq.ft."
2072,2 BHK Apartment in Srirampuram,"₹ 6,724/sq.ft.","1,041 sq.ft. (97 sq.m.) Carpet Area",(97 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 70 L₹ 6,724/sq.ft."
2073,Residential land / Plot in Kittanahalli,"₹ 1,450/sq.ft.","1,159 sq.ft. (108 sq.m.) Plot Area",(108 sq.m.) Plot Area,,"₹ 16.81 L₹ 1,450/sq.ft."
2074,3 BHK Apartment in Kereguddadahalli,"₹ 3,859/sq.ft.","1,425 sq.ft. (132 sq.m.) Super built-up Area",(132 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 55 L₹ 3,859/sq.ft."
2075,3 BHK Apartment in Panduranga Nagar,"₹ 4,545/sq.ft.","1,320 sq.ft. (123 sq.m.) Super built-up Area",(123 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 51 L₹ 4,545/sq.ft."
2076,2 BHK Apartment in BTM Layout,"₹ 6,956/sq.ft.","1,150 sq.ft. (107 sq.m.) Built-up Area",(107 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 80 L₹ 6,956/sq.ft."
2077,2 BHK Apartment in Chandapura,"₹ 3,676/sq.ft.",816 sq.ft. (76 sq.m.) Super built-up Area,(76 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 30 L₹ 3,676/sq.ft."
2078,2 BHK Apartment in Mahadevpura,"₹ 3,590/sq.ft.","1,532 sq.ft. (142 sq.m.) Super built-up Area",(142 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55 L₹ 3,590/sq.ft."
2079,4 Bedroom House in Chandra Layout,"₹ 12,500/sq.ft.","2,800 sq.ft. (260 sq.m.) Plot Area",(260 sq.m.) Plot Area,4 BHK3 Baths,"₹ 3.5 Cr₹ 12,500/sq.ft."
2080,2 BHK Apartment in Nagondanahalli,"₹ 6,637/sq.ft.","1,145 sq.ft. (106 sq.m.) Super built-up Area",(106 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 76 L₹ 6,637/sq.ft."
2081,2 BHK Apartment in Kereguddadahalli,"₹ 4,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 40 L₹ 4,000/sq.ft."
2082,4 Bedroom House in Sarjapur Road,"₹ 8,000/sq.ft.","1,750 sq.ft. (163 sq.m.) Plot Area",(163 sq.m.) Plot Area,4 BHK3 Baths,"₹ 1.4 Cr₹ 8,000/sq.ft."
2083,2 Bedroom House in Nelamangala,"₹ 8,965/sq.ft.","2,900 sq.ft. (269 sq.m.) Plot Area",(269 sq.m.) Plot Area,2 BHK1 Bath,"₹ 2.6 Cr₹ 8,965/sq.ft."
2084,Residential land / Plot in Garebhavipalya,"₹ 7,000/sq.ft.",600 sq.ft. (56 sq.m.) Plot Area,(56 sq.m.) Plot Area,,"₹ 42 L₹ 7,000/sq.ft."
2085,Residential land / Plot in Hosa Road,"₹ 6,000/sq.ft.","1,560 sq.ft. (145 sq.m.) Plot Area",(145 sq.m.) Plot Area,,"₹ 93.6 L₹ 6,000/sq.ft."
2086,2 BHK Apartment in KR Puram,"₹ 4,173/sq.ft.","1,150 sq.ft. (107 sq.m.) Super built-up Area",(107 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 48 L₹ 4,173/sq.ft."
2087,Residential land / Plot in Kithaganur,"₹ 3,333/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 40 L₹ 3,333/sq.ft."
2088,Residential land / Plot in P&T Layout,"₹ 6,333/sq.ft.","1,500 sq.ft. (139 sq.m.) Plot Area",(139 sq.m.) Plot Area,,"₹ 95 L₹ 6,333/sq.ft."
2089,3 BHK Apartment in 3rd Block HBR Layout,"₹ 6,500/sq.ft.","2,000 sq.ft. (186 sq.m.) Carpet Area",(186 sq.m.) Carpet Area,3 BHK3 Baths,"₹ 1.3 Cr₹ 6,500/sq.ft."
2090,Residential land / Plot in Electronic City,"₹ 1,583/sq.ft.","1,200 sq.ft. (111 sq.m.) Plot Area",(111 sq.m.) Plot Area,,"₹ 19 L₹ 1,583/sq.ft."
2091,2 BHK Apartment in Whitefield,"₹ 5,625/sq.ft.",800 sq.ft. (74 sq.m.) Carpet Area,(74 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 45 L₹ 5,625/sq.ft."
2092,Residential land / Plot in Srinivasa Layout,"₹ 3,082/sq.ft.","2,920 sq.ft. (271 sq.m.) Plot Area",(271 sq.m.) Plot Area,,"₹ 90 L₹ 3,082/sq.ft."
2093,1 BHK Apartment in Byagadadhenahalli,"₹ 2,903/sq.ft.",465 sq.ft. (43 sq.m.) Super built-up Area,(43 sq.m.) Super built-up Area,1 BHK2 Baths,"₹ 13.5 L₹ 2,903/sq.ft."
2094,2 BHK Apartment in Bommasandra,"₹ 3,300/sq.ft.","1,000 sq.ft. (93 sq.m.) Carpet Area",(93 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 33 L₹ 3,300/sq.ft."
2095,5 Bedroom House in RT Nagar,"₹ 12,500/sq.ft.","2,400 sq.ft. (223 sq.m.) Plot Area",(223 sq.m.) Plot Area,5 BHK5 Baths,"₹ 3 Cr₹ 12,500/sq.ft."
2096,3 BHK Apartment in HBR Layout,"₹ 6,428/sq.ft.","1,400 sq.ft. (130 sq.m.) Super built-up Area",(130 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 90 L₹ 6,428/sq.ft."
2097,2 BHK Apartment in Srirampuram,"₹ 6,724/sq.ft.","1,041 sq.ft. (97 sq.m.) Carpet Area",(97 sq.m.) Carpet Area,2 BHK2 Baths,"₹ 70 L₹ 6,724/sq.ft."
2098,Residential land / Plot in Kittanahalli,"₹ 1,450/sq.ft.","1,159 sq.ft. (108 sq.m.) Plot Area",(108 sq.m.) Plot Area,,"₹ 16.81 L₹ 1,450/sq.ft."
2099,3 BHK Apartment in Kereguddadahalli,"₹ 3,859/sq.ft.","1,425 sq.ft. (132 sq.m.) Super built-up Area",(132 sq.m.) Super built-up Area,3 BHK3 Baths,"₹ 55 L₹ 3,859/sq.ft."
2100,3 BHK Apartment in Panduranga Nagar,"₹ 4,545/sq.ft.","1,320 sq.ft. (123 sq.m.) Super built-up Area",(123 sq.m.) Super built-up Area,3 BHK2 Baths,"₹ 51 L₹ 4,545/sq.ft."
2101,2 BHK Apartment in BTM Layout,"₹ 6,956/sq.ft.","1,150 sq.ft. (107 sq.m.) Built-up Area",(107 sq.m.) Built-up Area,2 BHK2 Baths,"₹ 80 L₹ 6,956/sq.ft."
2102,2 BHK Apartment in Chandapura,"₹ 3,676/sq.ft.",816 sq.ft. (76 sq.m.) Super built-up Area,(76 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 30 L₹ 3,676/sq.ft."
2103,2 BHK Apartment in Mahadevpura,"₹ 3,590/sq.ft.","1,532 sq.ft. (142 sq.m.) Super built-up Area",(142 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 55 L₹ 3,590/sq.ft."
2104,4 Bedroom House in Chandra Layout,"₹ 12,500/sq.ft.","2,800 sq.ft. (260 sq.m.) Plot Area",(260 sq.m.) Plot Area,4 BHK3 Baths,"₹ 3.5 Cr₹ 12,500/sq.ft."
2105,2 BHK Apartment in Nagondanahalli,"₹ 6,637/sq.ft.","1,145 sq.ft. (106 sq.m.) Super built-up Area",(106 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 76 L₹ 6,637/sq.ft."
2106,2 BHK Apartment in Kereguddadahalli,"₹ 4,000/sq.ft.","1,000 sq.ft. (93 sq.m.) Super built-up Area",(93 sq.m.) Super built-up Area,2 BHK2 Baths,"₹ 40 L₹ 4,000/sq.ft."
2107,4 Bedroom House in Sarjapur Road,"₹ 8,000/sq.ft.","1,750 sq.ft. (163 sq.m.) Plot Area",(163 sq.m.) Plot Area,4 BHK3 Baths,"₹ 1.4 Cr₹ 8,000/sq.ft."
