title,location,bhk,bath,total_sqft,price_per_sqft,price,area_type
4 Bedroom House , Jeevan bima nagar,4,4,2879,9725,280,Built-upArea
2 BHK Apartment , EPIP Zone,2,2,1130,6283,71,Superbuilt-up
3 BHK Apartment , Kothanur,3,3,2045,7579,155,Superbuilt-up
7 Bedroom House , KR Puram,7,8,1200,20754,22,PlotArea
9 BHK Independent Builder Floor , Teachers Colony,9,9,2250,6888,155,Built-upArea
3 BHK Independent Builder Floor , BEML Layout,3,3,1600,17187,275,CarpetArea
4 Bedroom House , Hessarghatta,4,4,2180,8211,179,PlotArea
2 BHK Apartment , Hosa Road,2,2,1050,4190,44,Built-upArea
2 BHK Apartment , Chandapura,2,1,711,4153,25.5,Built-upArea
3 Bedroom House , Bendiganahalli,3,3,1200,7500,90,PlotArea
9 Bedroom House , Hennur Bande,9,9,2950,7796,230,PlotArea
3 BHK Apartment , Yelahanka New Town,3,3,1879,6386,120,Built-upArea
2 BHK Apartment , BTM 1st Stage,2,2,1330,4360,58,Superbuilt-up
2 BHK Apartment , Electronic City,2,2,1196,7107,85,Superbuilt-up
2 BHK Apartment , Yelahanka,2,2,1135,5726,65,Built-upArea
2 BHK Apartment , Yelahanka,2,2,1070,5794,62,Superbuilt-up
2 BHK Apartment , Yelahanka,2,2,1115,5829,65,Superbuilt-up
3 BHK Apartment , Uttarahalli,3,2,1340,5000,67,CarpetArea
4 Bedroom House , Amarjyothi Colony,4,4,1260,23809,300,PlotArea
3 BHK Independent Builder Floor , Gubbalala,3,2,1619,5867,95,CarpetArea
4 BHK Independent Builder Floor , Kempapura,4,4,4500,5111,230,Built-upArea
3 BHK Apartment , Chandapura,3,3,1197,4177,50,CarpetArea
3 Bedroom House , Sudhama Nagar,3,3,1600,25000,333,PlotArea
1 BHK Apartment , Jalahalli East,1,1,780,6153,48,CarpetArea
1 Bedroom House , Rajarajeshwari Nagar,1,1,1876,4550,85,PlotArea
3 BHK Apartment , Thirumenahalli,3,2,1410,6028,85,CarpetArea
4 Bedroom House , Rajarajeshwari Nagar,4,4,4400,7045,310,Built-upArea
6 Bedroom House , Indira Nagar Stage 2,6,3,1215,27160,330,PlotArea
3 BHK Apartment , Yelahanka,3,3,1515,4950,70,Superbuilt-up
3 BHK Apartment , Vidyaranyapura,3,2,1360,6029,82,Superbuilt-up
2 BHK Apartment , Banashankari Stage I,2,2,1014,9500,95,Superbuilt-up
1 BHK Apartment , Thirupalya,1,1,500,7200,36,CarpetArea
14 Bedroom House , Horamavu Agara,14,14,2660,13533,360,PlotArea
3 BHK Apartment , Hosahalli,3,3,1117,9846,110,CarpetArea
3 BHK Apartment , Whitefield,3,3,1500,4533,68,CarpetArea
2 BHK Apartment , 8th Phase JP Nagar,2,2,1265,6956,88,Superbuilt-up
3 BHK Apartment , Doddaballapur Road,3,2,1187,3538,42,CarpetArea
2 BHK Apartment , Nelamangala,2,2,1187,5897,70,Superbuilt-up
4 BHK Apartment , Thanisandra Ma,4,4,2427,9806,238,Superbuilt-up
3 BHK Apartment , HSR Layout,3,3,1675,8059,135,Superbuilt-up
2 BHK Apartment , Hoodi,2,2,1135,4405,50,CarpetArea
2 BHK Apartment , Kasturi Nagar,2,2,1025,8292,82,Built-upArea
3 BHK Apartment ," Yelahanka, Bangalore",3,3,1496,4812,72,Superbuilt-up
2 BHK Apartment , BEL Road,2,2,900,5777,52,Built-upArea
2 Bedroom House , Banjara Layout,2,2,1270,7086,90,PlotArea
3 BHK Apartment , Yelahanka,3,4,2380,6302,150,Superbuilt-up
7 Bedroom House , Hongasandra,7,7,1382,14327,198,PlotArea
2 BHK Apartment , BTM 2nd Stage,2,2,1200,6250,75,Superbuilt-up
3 BHK Apartment , Talacauvery Layout,3,3,1610,8074,130,Superbuilt-up
2 Bedroom House , RT Nagar,2,2,1050,13181,140,PlotArea
2 BHK Apartment , Mathikere,2,2,1016,6889,70,CarpetArea
3 BHK Apartment , Sarjapur Road,3,3,1573,6675,105,CarpetArea
2 BHK Apartment , Hallehalli,2,2,1172,3839,45,CarpetArea
2 BHK Apartment , Dodda Nekkundi,2,2,1055,6445,68,Superbuilt-up
3 BHK Apartment , Banashankari,3,3,1520,5592,85,CarpetArea
3 BHK Apartment , Koramangala,3,2,1435,15500,155,Superbuilt-up
2 BHK Apartment , Dodda Nekkundi,2,2,1275,8372,90,Built-upArea
3 Bedroom House , Kengeri,3,3,3490,11460,400,PlotArea
3 BHK Apartment , Kadugodi,3,3,1670,5209,87,Superbuilt-up
2 BHK Apartment , Sneha Colony,2,2,875,4914,43,CarpetArea
2 BHK Apartment , Marathahalli,2,2,1283,5845,75,Superbuilt-up
2 BHK Apartment , Sarjapur Road,2,2,1258,5962,83,Superbuilt-up
2 BHK Apartment , 5th Phase JP Nagar,2,3,1200,5416,65,CarpetArea
2 BHK Apartment , Chikkabanavar,2,2,1000,5000,50,CarpetArea
3 BHK Apartment , Dollars Colony,3,3,1815,9917,180,CarpetArea
2 BHK Apartment , Hennur Road,2,2,1260,6715,70,Superbuilt-up
3 BHK Apartment , LB Shastri Nagar,3,2,1370,6496,89,Superbuilt-up
2 BHK Apartment , Narayana Nagar 1st Block,2,2,989,6572,65,CarpetArea
2 BHK Apartment , Hebbal,2,2,1000,4500,45,Built-upArea
2 BHK Apartment , BEL Road,2,2,1150,6260,73,CarpetArea
2 BHK Apartment , Peenya,2,2,814,5528,45,CarpetArea
9 BHK Independent Builder Floor , Kadubeesanahalli,9,9,4600,5434,250,Superbuilt-up
2 BHK Apartment , Devi Nagar,2,2,1395,6308,88,Superbuilt-up
2 BHK Apartment , Ambedkar Colony,2,2,1450,10482,152,Superbuilt-up
2 BHK Apartment , Anantapuram,2,2,928,5172,48,CarpetArea
2 BHK Apartment , Kirloskar Layout,2,2,900,3666,33,Superbuilt-up
3 BHK Apartment , KR Puram,3,3,1502,6591,99,Built-upArea
3 BHK Apartment , Kumarapalli,3,2,1488,5040,75,Superbuilt-up
2 BHK Apartment , Bannerghatta Road,2,2,1305,4980,65,Superbuilt-up
2 BHK Apartment , Channasandra Layout,2,2,1010,6039,57,Built-upArea
3 BHK Apartment , Murugeshpalya,3,2,1400,8000,100,Superbuilt-up
3 BHK Apartment , Amruthahalli,3,2,1540,4546,70,Built-upArea
3 BHK Apartment , TC Palaya,3,3,1250,6560,82,CarpetArea
3 Bedroom House , Hanuma Reddy Layout,3,2,2400,11458,275,PlotArea
2 BHK Apartment , Benson Town,2,2,1166,7718,90,Built-upArea
3 BHK Apartment , Electronics City Phase 1,3,3,2035,6879,140,Built-upArea
2 BHK Apartment , Dasarahalli,2,2,872,5504,48,Superbuilt-up
2 BHK Apartment , Yelahanka,2,2,870,6034,52.5,CarpetArea
3 BHK Apartment , TC Palaya,3,3,1100,4181,46,CarpetArea
3 BHK Apartment , Sarjapur,3,2,844,7938,67,Superbuilt-up
3 BHK Apartment , Budigere,3,3,1674,5077,85,Built-upArea
3 Bedroom House , Sidihosakote,3,3,1500,4676,85,PlotArea
2 BHK Independent Builder Floor , Sector 2 HSR Layout,2,2,1075,5209,56,CarpetArea
2 BHK Apartment , Ulsoor,2,2,1500,10333,155,CarpetArea
4 Bedroom House , Budigere Cross,4,4,4607,12915,595,PlotArea
12 Bedroom House , Panduranga Nagar,12,12,5100,9803,500,Built-upArea
3 BHK Apartment , Whitefield,3,3,1715,6297,108,Superbuilt-up
2 BHK Apartment , HBR Layout,2,2,1005,7761,78,Superbuilt-up
2 BHK Apartment , Sarjapur,2,2,1200,3750,45,Built-upArea
3 BHK Apartment , Jalahalli,3,2,1596,5639,90,Superbuilt-up
2 BHK Apartment , Kengeri,2,2,902,4756,42.9,Superbuilt-up
3 BHK Apartment , Doddagubbi,3,3,1350,5185,70,Superbuilt-up
2 BHK Apartment , Sun City Layout,2,2,1094,8683,95,CarpetArea
3 BHK Apartment , Ramamurthy Nagar,3,2,1750,4114,72,CarpetArea
3 BHK Apartment , Sompura,3,3,1650,5151,85,CarpetArea
3 BHK Apartment , Frazer Town,3,3,1276,7053,90,Superbuilt-up
2 BHK Apartment , Sahakara Nagar,2,2,1170,8120,95,Built-upArea
6 Bedroom House , Sahakara Nagar,6,4,1380,23550,275,PlotArea
2 BHK Apartment , 5th Phase JP Nagar,2,2,1195,4602,55,CarpetArea
14 Bedroom House , Electronic City,14,14,1200,14583,175,PlotArea
3 Bedroom House , Banashankari Stage 6,3,3,1200,20000,240,PlotArea
2 BHK Apartment , Chandapura,2,2,886,3724,33,CarpetArea
2 BHK Apartment , Horamavu Agara,2,2,900,6111,55,CarpetArea
3 BHK Apartment , Sree Narayana Nagar,3,2,1032,5329,55,CarpetArea
4 BHK Apartment , Kasturi Nagar,4,4,4000,8125,325,Superbuilt-up
11 Bedroom House , Nataraja Layout,11,10,1200,25000,300,PlotArea
2 BHK Apartment , Chandapura,2,2,887,3720,33,CarpetArea
3 BHK Apartment , Whitefield,3,3,1780,6179,110,Superbuilt-up
3 Bedroom House , TC Palaya,3,2,1750,8571,150,PlotArea
4 BHK Apartment , Sadashiva Nagar,4,4,5090,11787,600,Superbuilt-up
3 BHK Apartment , Begur Road,3,3,1850,9730,175,Superbuilt-up
2 BHK Apartment , Bommasandra,2,2,995,4020,38,Superbuilt-up
3 BHK Apartment , Himagiri Meadows,3,3,1327,4898,60,Superbuilt-up
2 BHK Apartment , Vijay Nagar,2,2,1200,5167,69,Superbuilt-up
4 BHK Apartment , Kanaka Nagar,4,5,3586,9481,340,Superbuilt-up
7 Bedroom House , Mahaganapathi Nagar,7,6,900,21111,190,PlotArea
8 Bedroom House , Naganathapura,8,10,1200,16500,185,PlotArea
